Symbol,Underlying,Expiration Date,Option Side,Strike,First Traded,Days To Expiration,Date,Bid,Bid Size,Mid,Ask,Ask Size,Last,Open Interest,Volume,In The Money,Intrinsic Value,Extrinsic Value,Underlying Price
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/6/2022,13,22,13.75,14.5,50,0,0,0,FALSE,0,13.75,142.92
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/7/2022,13.8,12,14.45,15.1,71,14.78,0,5,FALSE,0,14.45,146.35
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/8/2022,14.7,145,15.1,15.5,12,15.1,5,1,FALSE,0,15.1,147.04
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/11/2022,13.95,363,14.35,14.75,13,14.37,6,6,FALSE,0,14.35,144.87
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/12/2022,14.4,8,14.85,15.3,1,15.06,10,4,FALSE,0,14.85,145.86
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/13/2022,14.6,137,14.98,15.35,191,15.24,14,9,FALSE,0,14.98,145.49
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/14/2022,16.25,426,16.52,16.8,79,16.6,22,90,FALSE,0,16.52,148.47
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/15/2022,16.45,149,16.98,17.5,8,16.1,94,58,FALSE,0,16.98,150.17
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/18/2022,15.3,23,15.52,15.75,51,15.45,147,60,FALSE,0,15.52,147.07
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/19/2022,16.4,29,17.1,17.8,49,16.05,176,40,FALSE,0,17.1,151
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/20/2022,17.85,39,18.08,18.3,110,18.05,211,32,FALSE,0,18.08,153.04
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/21/2022,19.15,218,19.4,19.65,165,19.27,228,17,FALSE,0,19.4,155.35
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/22/2022,18.2,24,18.68,19.15,3,19.27,243,0,FALSE,0,18.68,154.09
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/25/2022,17.65,66,18.02,18.4,287,18.3,243,6,FALSE,0,18.02,152.95
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/26/2022,17.2,167,17.45,17.7,371,17.27,245,12,FALSE,0,17.45,151.6
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/27/2022,19.45,48,20.88,22.3,20,20.4,246,12,FALSE,0,20.88,156.79
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/28/2022,18.85,1,19.68,20.5,1,20.3,256,46,FALSE,0,19.68,157.35
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,7/29/2022,22.65,12,22.92,23.2,24,23.07,285,36,TRUE,2.51,20.41,162.51
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/1/2022,22.05,104,22.28,22.5,85,22.53,275,31,TRUE,1.51,20.77,161.51
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/2/2022,21.4,99,21.6,21.8,48,21.8,287,20,TRUE,0.01,21.59,160.01
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/3/2022,25.2,273,25.35,25.5,47,25.44,281,29,TRUE,6.13,19.22,166.13
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/4/2022,24.85,300,25.02,25.2,193,25.04,282,48,TRUE,5.81,19.21,165.81
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/5/2022,24.7,243,24.88,25.05,1,24.16,281,2,TRUE,5.35,19.53,165.35
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/8/2022,23,598,23.9,24.8,293,26.2,282,1,TRUE,4.87,19.03,164.87
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/9/2022,24.45,104,24.6,24.75,34,25.06,282,34,TRUE,4.92,19.68,164.92
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/10/2022,26,52,27.02,28.05,3,26.02,259,3,TRUE,9.24,17.78,169.24
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/11/2022,26.6,23,26.8,27,33,27.68,261,6,TRUE,8.49,18.31,168.49
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/12/2022,28.8,2,29.35,29.9,47,28.98,267,7,TRUE,12.1,17.25,172.1
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/17/2022,30.95,20,31.1,31.25,4,31.18,267,21,TRUE,14.55,16.55,174.55
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/18/2022,30.75,43,30.88,31,14,31.18,275,0,TRUE,14.15,16.73,174.15
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/19/2022,28.9,12,29.1,29.3,30,29.32,275,6,TRUE,11.52,17.58,171.52
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/22/2022,26.5,34,26.6,26.7,16,27.54,269,9,TRUE,7.57,19.03,167.57
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/23/2022,26,30,26.12,26.25,15,26.5,269,31,TRUE,7.23,18.89,167.23
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/24/2022,25.75,473,26.22,26.7,325,26.5,262,0,TRUE,7.53,18.69,167.53
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/25/2022,26.75,3,27.5,28.25,14,27.3,262,1,TRUE,10.03,17.47,170.03
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/26/2022,24,1,24.8,25.6,1,27.7,262,1,TRUE,3.62,21.18,163.62
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/29/2022,22.1,146,22.48,22.85,7,23,262,148,TRUE,1.38,21.1,161.38
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/30/2022,20.85,42,20.95,21.05,33,20.57,324,32,FALSE,0,20.95,158.91
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,8/31/2022,19.7,38,19.82,19.95,38,20.66,339,56,FALSE,0,19.82,157.22
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/1/2022,19.75,30,20.1,20.45,30,19.45,350,30,FALSE,0,20.1,157.96
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/2/2022,18.8,44,18.88,18.95,34,19.14,330,21,FALSE,0,18.88,155.81
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/6/2022,18.3,42,18.4,18.5,34,18.95,327,42,FALSE,0,18.4,154.53
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/7/2022,18.65,32,18.73,18.8,27,19,355,19,FALSE,0,18.73,155.96
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/8/2022,17.45,33,17.55,17.65,30,17.3,350,18,FALSE,0,17.55,154.46
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/9/2022,18.9,28,19,19.1,30,19.15,346,2,FALSE,0,19,157.37
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/12/2022,22.85,30,22.95,23.05,30,23.2,348,22,TRUE,3.43,19.52,163.43
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/13/2022,17.8,34,17.92,18.05,29,18.4,345,127,FALSE,0,17.92,153.84
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/14/2022,18.65,27,18.75,18.85,43,18.6,399,27,FALSE,0,18.75,155.31
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/15/2022,16.9,61,17,17.1,94,16.98,423,8,FALSE,0,17,152.37
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/16/2022,16.35,23,16.5,16.65,30,16.6,429,61,FALSE,0,16.5,150.7
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/19/2022,18.1,112,18.23,18.35,56,18.2,422,22,FALSE,0,18.23,154.48
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/20/2022,19.55,23,19.7,19.85,202,19,418,62,FALSE,0,19.7,156.9
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/21/2022,17.8,123,17.98,18.15,362,18.57,393,37,FALSE,0,17.98,153.72
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/22/2022,17.2,66,17.32,17.45,88,17.8,428,57,FALSE,0,17.32,152.74
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/23/2022,16.1,63,16.25,16.4,71,15.5,431,13,FALSE,0,16.25,150.43
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/26/2022,16.3,40,16.42,16.55,29,15.5,435,0,FALSE,0,16.42,150.77
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/27/2022,16.25,618,16.92,17.6,815,16.78,435,8,FALSE,0,16.92,151.76
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/28/2022,15.6,72,15.8,16,480,14.5,437,65,FALSE,0,15.8,149.84
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/29/2022,12.3,149,12.42,12.55,30,12.45,474,160,FALSE,0,12.42,142.48
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,9/30/2022,10.35,74,10.52,10.7,87,11.1,554,103,FALSE,0,10.52,138.2
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/3/2022,11.15,30,11.58,12,30,11.25,620,83,FALSE,0,11.58,142.45
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/4/2022,12.8,44,13.3,13.8,786,13.05,641,65,FALSE,0,13.3,146.1
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/5/2022,13.15,649,13.65,14.15,897,12.16,644,3,FALSE,0,13.65,146.4
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/6/2022,12.9,113,13.1,13.3,322,13.2,644,38,FALSE,0,13.1,145.43
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/7/2022,10.7,102,10.88,11.05,44,10.8,606,5,FALSE,0,10.88,140.09
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/10/2022,10.75,674,10.98,11.2,412,11.5,608,14,FALSE,0,10.98,140.42
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/11/2022,10.25,144,10.45,10.65,50,10.5,618,15,FALSE,0,10.45,138.98
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/12/2022,10.15,111,10.28,10.4,299,10.25,616,104,FALSE,0,10.28,138.34
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/13/2022,11.8,50,12,12.2,896,12,706,66,FALSE,0,12,142.99
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/14/2022,9.9,60,10.28,10.65,9,10.15,750,45,FALSE,0,10.28,138.38
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/17/2022,11.25,33,11.45,11.65,31,11.54,752,57,FALSE,0,11.45,142.41
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/18/2022,11.9,379,12.1,12.3,124,11.45,795,67,FALSE,0,12.1,143.75
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/19/2022,12,161,12.6,13.2,69,12.04,832,17,FALSE,0,12.6,143.86
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/20/2022,11.5,576,11.9,12.3,345,12.1,828,132,FALSE,0,11.9,143.39
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/21/2022,13.6,151,13.82,14.05,10,14.02,901,56,FALSE,0,13.82,147.27
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/24/2022,14.75,33,14.95,15.15,287,14.87,928,147,FALSE,0,14.95,149.45
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/25/2022,16.05,101,16.23,16.4,294,16.18,1036,18,FALSE,0,16.23,152.34
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/26/2022,14.45,519,14.85,15.25,41,14.19,1040,11,FALSE,0,14.85,149.35
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/27/2022,12.05,1594,12.5,12.95,34,12.55,1047,10,FALSE,0,12.5,144.8
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/28/2022,17.55,409,17.85,18.15,692,18,1049,247,FALSE,0,17.85,155.74
