Symbol,Underlying,Expiration Date,Option Side,Strike,First Traded,Days To Expiration,Date,Bid,Bid Size,Mid,Ask,Ask Size,Last,Open Interest,Volume,In The Money,Intrinsic Value,Extrinsic Value,Underlying Price
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,10/31/2022,16.15,23,16.32,16.5,5,16.22,1090,2,FALSE,0,16.32,153.34
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/1/2022,14.6,6,14.85,15.1,533,14.6,1090,12,FALSE,0,14.85,150.65
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/2/2022,12,732,12.3,12.6,1084,12.55,1102,6,FALSE,0,12.3,145.03
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/3/2022,9.45,231,9.62,9.8,147,9.62,1099,70,FALSE,0,9.62,138.88
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/4/2022,8.8,11,9.5,10.2,1,9.17,1137,324,FALSE,0,9.5,138.38
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/7/2022,9.25,512,9.38,9.5,90,9.3,1092,57,FALSE,0,9.38,138.92
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/8/2022,9.55,328,9.68,9.8,195,9.05,1114,156,FALSE,0,9.68,139.5
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/9/2022,7.8,133,7.92,8.05,115,7.9,1176,81,FALSE,0,7.92,134.87
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/10/2022,12.2,18,12.42,12.65,116,11,1193,76,FALSE,0,12.42,146.87
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/11/2022,13.5,194,13.68,13.85,94,13.45,1165,12,FALSE,0,13.68,149.7
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/14/2022,12.7,889,12.88,13.05,31,13.35,1164,28,FALSE,0,12.88,148.28
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/15/2022,13.5,373,13.7,13.9,19,13.75,1164,13,FALSE,0,13.7,150.04
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/16/2022,12.95,375,13.1,13.25,30,13.2,1166,35,FALSE,0,13.1,148.79
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/17/2022,13.95,46,14.1,14.25,172,13.6,1162,136,FALSE,0,14.1,150.72
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/18/2022,14.05,31,14.22,14.4,31,14.2,1204,4,FALSE,0,14.22,151.29
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/21/2022,12.5,115,12.65,12.8,26,12.79,1205,23,FALSE,0,12.65,148.01
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/22/2022,13.2,645,13.35,13.5,90,13.37,1198,81,FALSE,0,13.35,150.18
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/23/2022,13.5,42,13.7,13.9,125,13.4,1271,39,FALSE,0,13.7,151.07
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/25/2022,12.15,105,12.28,12.4,100,12.2,1309,10,FALSE,0,12.28,148.11
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/28/2022,10.5,69,10.55,10.6,25,10.35,1319,237,FALSE,0,10.55,144.22
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/29/2022,9.15,91,9.25,9.35,166,9.1,1532,204,FALSE,0,9.25,141.17
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,11/30/2022,11.8,12,11.95,12.1,12,11.73,1533,17,FALSE,0,11.95,148.03
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/1/2022,11.9,51,12.05,12.2,98,11.95,1537,16,FALSE,0,12.05,148.31
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/2/2022,11.4,621,11.55,11.7,123,10.99,1548,7,FALSE,0,11.55,147.81
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/5/2022,11.05,264,11.18,11.3,170,10.88,1555,130,FALSE,0,11.18,146.63
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/6/2022,9.45,825,9.6,9.75,119,9.5,1608,59,FALSE,0,9.6,142.91
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/7/2022,8.8,44,8.93,9.05,323,8.9,1590,246,FALSE,0,8.93,140.94
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/8/2022,9.3,349,9.4,9.5,353,9.3,1619,76,FALSE,0,9.4,142.65
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/9/2022,9.05,950,9.18,9.3,83,9.55,1574,23,FALSE,0,9.18,142.16
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/12/2022,9.95,336,10.07,10.2,34,9.85,1574,45,FALSE,0,10.07,144.49
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/13/2022,10.1,57,10.2,10.3,42,10.15,1587,24,FALSE,0,10.2,145.47
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/14/2022,9.05,155,9.2,9.35,78,9.45,1582,101,FALSE,0,9.2,143.21
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/15/2022,6.55,372,6.8,7.05,1,6.81,1660,208,FALSE,0,6.8,136.5
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/16/2022,6,1,6.18,6.35,86,6.3,1747,77,FALSE,0,6.18,134.51
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/19/2022,5.15,76,5.22,5.3,52,5.25,1763,200,FALSE,0,5.22,132.37
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/20/2022,4.95,1152,5.05,5.15,688,4.97,1756,15,FALSE,0,5.05,132.3
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/21/2022,5.7,92,5.82,5.95,40,5.75,1756,104,FALSE,0,5.82,135.45
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/22/2022,4.9,78,5,5.1,77,5,1788,262,FALSE,0,5,132.23
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/23/2022,4.6,49,4.7,4.8,107,4.7,1794,88,FALSE,0,4.7,131.86
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/27/2022,4.05,417,4.18,4.3,279,4.15,1807,84,FALSE,0,4.18,130.03
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/28/2022,3.35,134,3.52,3.7,40,3.46,1818,126,FALSE,0,3.52,126.04
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/29/2022,3.85,105,3.95,4.05,71,4.05,1885,228,FALSE,0,3.95,129.61
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,12/30/2022,3.95,68,4.03,4.1,70,3.98,1934,235,FALSE,0,4.03,129.93
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/3/2023,2.84,5,2.91,2.98,61,2.85,2091,102,FALSE,0,2.91,125.07
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/4/2023,2.78,62,2.84,2.9,102,2.84,2064,128,FALSE,0,2.84,126.36
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/5/2023,2.51,139,2.58,2.66,147,2.58,2049,70,FALSE,0,2.58,125.02
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/6/2023,3.05,106,3.15,3.25,228,3.2,2026,344,FALSE,0,3.15,129.62
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/9/2023,3.15,97,3.22,3.3,181,3.4,1994,114,FALSE,0,3.22,130.15
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/10/2023,3.05,575,3.15,3.25,124,3.13,1969,35,FALSE,0,3.15,130.73
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/11/2023,3.55,108,3.65,3.75,98,3.65,1962,81,FALSE,0,3.65,133.49
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/12/2023,3.3,105,3.38,3.45,106,3.35,1985,105,FALSE,0,3.38,133.41
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/13/2023,3.2,106,3.28,3.35,92,3.3,2039,119,FALSE,0,3.28,134.76
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/16/2023,3.2,106,3.28,3.35,92,3.3,2039,0,FALSE,0,3.28,134.76
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/17/2023,3.5,244,3.58,3.65,100,3.55,2094,130,FALSE,0,3.58,135.94
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/18/2023,3.3,149,3.38,3.45,107,3.5,2151,678,FALSE,0,3.38,135.21
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/19/2023,3.35,390,3.52,3.7,398,3.6,2292,126,FALSE,0,3.52,135.27
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/20/2023,3.8,48,3.92,4.05,5,3.9,2339,74,FALSE,0,3.92,137.87
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/23/2023,4.3,135,4.5,4.7,821,4.65,2386,575,FALSE,0,4.5,141.11
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/24/2023,4.75,2,5.03,5.3,2,4.95,2518,1846,FALSE,0,5.03,142.53
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/25/2023,4.65,92,4.75,4.85,131,4.8,4277,83,FALSE,0,4.75,141.86
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/26/2023,5.1,335,5.2,5.3,210,5.2,4293,142,FALSE,0,5.2,143.96
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/27/2023,5.7,96,6,6.3,1,6.2,4364,4313,FALSE,0,6,145.93
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/30/2023,5.15,546,5.25,5.35,392,5.34,8261,204,FALSE,0,5.25,143
AAPL230721C00160000,AAPL,7/21/2023,call,160,7/6/2022,-45,1/31/2023,5.45,1094,5.55,5.65,501,5.5,8385,245,FALSE,0,5.55,144.29
